step,epoch,train_loss,val_loss,perplexity,learning_rate,grad_norm,tokens_per_sec,time_elapsed,eta,gpu_memory_gb
5100,6,0.39006277918815613,,,6.295122693506293e-05,0.10570180416107178,184931.725055815,0:00:11,0:00:08,0.19
5200,6,0.289049357175827,,,4.244438341726349e-05,0.08570593595504761,173769.06298582186,0:00:25,0:00:17,0.19
5300,7,0.5299959778785706,,,3.1551222018310525e-05,0.12852583825588226,183601.01031170695,0:00:38,0:00:25,0.19
5400,7,0.30756983160972595,,,3.112623960973711e-05,0.08710538595914841,186336.52928774804,0:00:51,0:00:32,0.19
5500,7,0.2163555771112442,,,4.12027732665468e-05,0.06967516988515854,187276.80055922057,0:01:04,0:00:38,0.19
5500,7,,0.36903438595484717,1.4463373365100263,,,,0:01:09,0:00:41,0.19
5600,7,0.3305298686027527,,,6.099038519292491e-05,0.10040132701396942,176897.43677781447,0:01:23,0:00:47,0.19
5700,7,0.4191209673881531,,,8.893686736890885e-05,0.11574496328830719,184192.705389466,0:01:36,0:00:52,0.19
5800,7,0.3400247097015381,,,0.00012285000206126737,0.09346770495176315,185367.5688602039,0:01:49,0:00:56,0.19
5900,7,0.36606258153915405,,,0.00016006952688728333,0.10921522229909897,186009.05567368193,0:02:02,0:01:00,0.19
6000,7,0.2889927327632904,,,0.00019767581490313468,0.08228292316198349,182894.02402133335,0:02:15,0:01:03,0.19
6000,7,,0.37516167626849245,1.4552266712179975,,,,0:02:20,0:01:06,0.19
6100,7,0.30588462948799133,,,0.00023271890013635348,0.09175364673137665,186630.61783113645,0:02:34,0:01:08,0.19
6200,8,0.42959192395210266,,,0.0002624498830155502,0.10816648602485657,185087.43349992984,0:02:47,0:01:10,0.19
6300,8,0.35293570160865784,,,0.00028453656346331556,0.12573277950286865,185187.38459212217,0:03:00,0:01:12,0.19
6400,8,0.24643252789974213,,,0.0002972463866542925,0.08526294678449631,145264.6651586394,0:03:13,0:01:13,0.19
6500,8,0.26003384590148926,,,0.00029958235054686005,0.08481810241937637,184244.1652643908,0:03:26,0:01:13,0.19
6500,8,,0.38065301216378505,1.463239790903186,,,,0:03:31,0:01:15,0.19
6600,8,0.23383377492427826,,,0.0002913612141364014,0.08547380566596985,186287.94193954935,0:03:45,0:01:15,0.19
6700,8,0.30914899706840515,,,0.00027322787150700243,0.08782978355884552,180868.29907172997,0:03:58,0:01:15,0.19
6800,8,0.29403698444366455,,,0.0002466047641317806,0.09180648624897003,169896.69994649332,0:04:11,0:01:14,0.19
6900,8,0.3658229410648346,,,0.00021358029969418727,0.09486378729343414,180441.93837346355,0:04:24,0:01:13,0.19
7000,8,0.28468358516693115,,,0.0001767450302399022,0.09419812262058258,185357.54942488973,0:04:37,0:01:12,0.19
7000,8,,0.37880970685913856,1.4605450775873214,,,,0:04:42,0:01:13,0.19
7100,9,0.3129626512527466,,,0.00013898844040593757,0.08541815727949142,155522.12926984127,0:04:56,0:01:11,0.19
7200,9,0.3712844252586365,,,0.00010327228635391494,0.11670560389757156,186573.75602006508,0:05:09,0:01:09,0.19
7300,9,0.25698602199554443,,,7.23982654775379e-05,0.09198169410228729,186614.36806303807,0:05:22,0:01:07,0.19
7400,9,0.24125374853610992,,,4.87882416677661e-05,0.08983646333217621,182784.84054324884,0:05:35,0:01:04,0.19
7500,9,0.4641226828098297,,,3.429426601825289e-05,0.13171063363552094,183671.81292513362,0:05:48,0:01:01,0.19
7500,9,,0.3648913859256676,1.4403575565502358,,,,0:05:53,0:01:02,0.19
7600,9,0.2108973115682602,,,3.005329559729001e-05,0.09784535318613052,160937.8144546649,0:06:07,0:00:58,0.19
7700,9,0.39219382405281067,,,3.639800664313862e-05,0.13528670370578766,167933.19182778007,0:06:20,0:00:55,0.19
7800,9,0.33147644996643066,,,5.283069830102361e-05,0.1234942302107811,185515.98325128484,0:06:33,0:00:51,0.19
7900,9,0.7362421751022339,,,7.806233398199993e-05,0.3236636519432068,183034.59458997843,0:06:46,0:00:47,0.19
8000,10,0.24034512042999268,,,0.00011011365780584846,0.09378328174352646,185720.94442338313,0:06:59,0:00:43,0.19
8000,10,,0.3785375562705556,1.460147643468222,,,,0:07:04,0:00:43,0.19
8100,10,0.30184677243232727,,,0.00014647045420805783,0.09614215046167374,171713.8497406213,0:07:18,0:00:38,0.19
8200,10,0.37822023034095764,,,0.00018428077161581545,0.12529578804969788,181748.28284627045,0:07:31,0:00:34,0.19
8300,10,0.28339898586273193,,,0.00022057863929268113,0.10153099149465561,185411.66724699116,0:07:44,0:00:29,0.19
8400,10,0.25327715277671814,,,0.0002525167282367935,0.087746761739254,185483.87351932583,0:07:57,0:00:23,0.19
8500,10,0.3123784065246582,,,0.00027758970541525384,0.0981038361787796,153584.38881772826,0:08:10,0:00:18,0.19
8500,10,,0.373632279395753,1.4530027531580616,,,,0:08:15,0:00:18,0.19
8600,10,0.3641156852245331,,,0.0002938307606639302,0.12163591384887695,181946.92960376918,0:08:29,0:00:13,0.19
8700,10,0.26546522974967957,,,0.0002999658900098576,0.11237301677465439,186362.85801858595,0:08:42,0:00:07,0.19
8800,10,0.3451994061470032,,,0.00029551383290428023,0.10166522115468979,178728.4593943816,0:08:55,0:00:01,0.19
